anesthesiologist	anesteziyolog
anesthesiology	anesteziyoloji
anesthetic	anestetik
aneurysm	anevrizma
aneurysmal	anevrizmal
aneurysmectomy	anevrizmektomi
aneurysmoplasty	anevrizmoplasti
anger pectoris	angina pektoris
angiectasia	anjiyektazi
angiectomy	anjiyektomi
angiitis	anjiitis
angina	angina
angina diphtheritica	difteri
angina laryngea	larenjit
angina pectoris	angina pektoris
anginal	anginal
anginal attack	angina atağı
angioblast	anjiyoblast
angioblastoma	hemanjiyoblastom
angiocardiography	anjiyokardiyografi
angioclast	angioklast
angiodystrophia	anjiyodistrofi
angiofibroma	anjiyofibrom
angiogenesis	anjiyogenez
angioglioma	anjiyoglioma
angiogram	anjiyogram
angiography	anjiyografi
angiohemophilia	anjiyohemofili
angioid	anjiyoid
angiokeratoma	anjiyokeratom
angiolipoma	anjiyolipom
angiology	anjiyoloji
angiolymphoma	anjiyolenfoma
angioma	anjiyom
angiomatosis	anjiyomatozis
angiomatosis retinae	retinal anjiyomatozis
angiomegaly	anjiyomegali
angiomyoma	anjiyomyom
angioneurosis	anjiyonöroz
angioneurotic edema	anjiyonörotik ödem
angioparalysis	anjiyoparalizi
angiopathy	anjiyopati
angiophakomatosis	anjiyofakomatoz
angioplast	anjiyoplast
angioplasty	anjiyoplasti
angiosarcoma	anjiyosarkom
angiospasm	anjiyospazm
angiostenosis	anjiyostenoz
angiotensin	anjiyotensin
angiotensin i	anjiyotensin ı
angiotensin ii	anjiyotensin ıı
angiotensinogen	anjiyotensinojen
angiotripsy	anjiyotripsi
angor	angor
angular	anguler
angulation	angulasyon
anhidrosis	anhidrozis
anhydrase	anhidraz
anhydride	anhidrit
anhydrous	anhidroz
anicteric	anikterik
aniline	anilin
anilism	anilin intoksikasyonu
animal phobia	hayvan fobisi
animal physiology	hayvan fizyolojisi
anion	anyon
aniridia	aniridi
anisochromatic	anizokromatik
anisocoria	anizokori
anisocytosis	anizositoz
anisometrope	anizometrop
anisometropia	anizometropi
anisometropic	anizometropik
anisophoria	anizofori
anisopia	anizopi
ankle	ayak bileği
ankylosed	ankiloze
ankylosing spondylitis	ankilozan spondilit
ankylosis	ankiloz
annular	annüler
annulus	annulus
anodal	anodal
anode	anot
anogenital	anogenital
anomalous	anomalili
anomaly	anomali
anoperineal	anoperineal
anophthalmia	anoftalmi
anopia	anopi
anoplasty	anoplasti
anopsia	anopsi
anorectal	anorektal
anorectal abscess	anorektal apse
anorectum	anorektum
anoretic	anoretik
anorexia	iştahsızlık
anorexia nervosa	anoreksiya nervoza
anorexigenic	anoreksijenik
anorthopia	anortopi
anoscope	anoskop
anosmia	anosmi
anovulation	anovülasyon
anovulatory	anovülatuar
anovulatory menstruation	anovulatuar menstrüasyon
anoxemia	anoksemi
anoxia	anoksi
anoxic	anoksik
ant	karınca
antacid	antasit
antagonism	antagonizm
antagonist	antagonist
antagonistic	antagonistik
antagonistic action	antagonist etki
ante partum	ante partum
antecedent	önceki
antegrade	antegrad
antenatal	antenatal
anterior	anterior
anterior chamber	ön kamara
anterograde	anterograd
anteroinferior	anteroinferior
anterointernal	anterointernal
anterolateral	anterolateral
anteroposterior	anteroposterior
anterosuperior	anterosuperior
anteversion	anteversiyon
anteverted uterus	antevert uterus
anthelmintic	antihelmintik
anthracosis	antrakoz
anthrax	şarbon
anthropobiology	antropobiyoloji
anthropoid pelvis	antropoid pelvis
anthropology	antropoloji
anthropometry	antropometri
anti infectious	antienfektif
anti infective	antienfektif
anti inflammatory	antiinflamatuar
antiagglutinin	antiaglutinin
antianaphylaxis	antianafilaksi
antibacterial	antibakteriyel
antibiotic	antibiyotik
antibody	antikor
antibrachium	önkol
anticatalyst	antikatalizör
anticholinergic	antikolinerjik
anticipate	um
anticipatory	beklenen
anticoagulant	antikoagülan
anticomplement	antikompleman
anticonception	kontrasepsiyon
anticonvulsant	antikonvülzan
anticonvulsive	antikonvülzif
antidepressant	antidepresan
antidiuretic	antidiüretik
antidotal	antidotik
antidote	antidot
antidromic	ters
antiemetic	antiemetik
antienzyme	antienzim
antiepileptic	antiepileptik
antifebrile	ateş düşürücü
antigen	antijen
antigen antibody complex	immün kompleks
antigen antibody reaction	antijen antikor reaksiyonu
antiglobulin	antiglobulin
antihemolysin	antihemolizin
antihemophilic	antihemofilik
antihemorrhagic	antihemorajik
antihistamine	antihistamin
antihistaminic	antihistaminik
antihormone	antihormon
antiketogen	antiketojen
antiketogenesis	antiketogenez
antilobium	tragus
antimalarial	antimalaryal
antimetabolite	antimetabolit
antimetropia	antimetropi
antimicrobic	antimikrobiyal
antimitotic	antimitotik
antimony	antimon
antimycotic	antimikotik
antimydriatic	antimidriyatik
antineoplastic	antineoplastik
antineuralgic	antinevraljik
antiotomy	antiotomi
antioxidant	antioksidan
antiparasitic	antiparazitik
antiperiodic	antiperiyodik
antiphagocytic	antifagositik
antiphlogistic	antiflojistik
antipsychotic	antipsikotik
antipuritic	antipuritik
antipyretic	antipiretik
antirheumatic	antiromatizmal
antisepsis	antisepsi
antiseptic	antiseptik
antiserum	antiserum
antisocial	antisosyal
antispasmodic	antispazmodik
antistreptococcal	antistreptokoksik
antitetanic	antitetanik
