carcinomatosus	раковый
cardi-, -cardium	сердце
cardi-, ostium cardiacum	кардиальное отверстие
cardi-, ostium cardiacum	кардия
cardiacus	сердечный
cardiacus	сердечный
cardinalis	кардинальный
cardinalis	основной
cardiovalenum	кардиовален
caries: ei f	кариез
caries: ei f	костоеда
caritas: atis f	милость
caroticus	сонный
carotis: tidis f	сонная артерия
carpeus	запястный
carpus: i	запястье
cartilagineus	хрящевой
cartilago: inis f	хрящ
casus: us	падеж
casus: us	случай
cata-	направленное вниз
cata-	усиление
catacrota	нисходящая часть пульсовой волны
catamnesis	история больного после выздоровления или выписки
cataracta	катаракта
catarrhalis	катаральный
cathedra	кафедра
cathedra	кресло
causa	повод
causa	причина
causa proxima	ближайшая непосредственная причина
causalis	причинный
cause praedisponentes	предраспологающие причины
caute	осторожно
caveo: ere II	остерегаться
caverna	каверна
caverna	пещера
caverna	полость
cavernosus	пещеристый
cavitas: atis f	впадина
cavitas: atis f	полость
cavum	впадина
cavum	полость
cavus	полый
celer: eris ere	быстрый
celeriter	быстро
cellula	клеткa
cellula	ячейка
cellularis	клеточный
cementum	цемент
census: us	оценка
census: us	цена
centralis	центральный
ceratus	вощеный
ceratus	вощеный
cerebellaris	мозжечковый
cerebellum	мозжечок
cerebralis	мозговой (головного мозга)
cerebralis	церебральный
cerebrum	мозг большой (головной)
cerno: ere III	различать
cerno: ere III	судить
certus	верный
certus	определенный
certus	преданный
certus	точный
cervicalis	шейный
cervicobrachialis	шейно-плечевой
chamomilla	ромашка
charta	бумага
cheir-, -cheiria	рука
chiasma: atis n	перекрест
chininum	хинин
chinosolum	хинозол
chirurgia	хирургия
chlor: viridis| e	зеленый
chloridum	хлорид
chloroformium	хлороформ
chlorophylliptum	хлорофиллипт
choanae: arum f	хоаны
chol-, -cholia, fel: fellis n	желчь
cholagogus	желчегонный
cholangi-, ductus biliferi	проточки желчные
chole: es f	желчь
cholecyst-	пузырь желчный
choledoch-, ductus choledochus	проток желчный общий
choleduchus	желчный
chondr-	хрящ
chondrocytus	хондроцит
chorda	нить
chorda	струна
chorda	хорда
chorioideus	снабженный сосудами
chorioideus	сосудистный
chorion	хорион
chrom(at)-, -chromia, color: oris m	окраска
chrom(at)-, -chromia, color: oris m	цвет
chronicus	хронический
chyl-, -chylia	млечный сок
chyl-, -chylia	молочно-белая жидкость
chyl-, -chylia	хилус
cibus: i	еда
cibus: i	пища
cicatrix: icis f	рубец
ciliaris	ресничный
cilium	ресница
cinereus	серый
cingo: ere III	опоясывать
cingulum	пояс
cingulum: i	пояс
circularis	круговой
circularis	циркулярный
circulus arteriosus cerebri	Вилизиев круг
circum-, peri-, para-	вокруг
circum-, peri-, para-	около
circumflexus	огибающий
cirrhosis: is f	цирроз
cisterna	цистерна
citissime	очень быстро
citissime	срочно
cito	быстро
citrat: atis m	цитрат
citrus	лимон
civitas: atis f	общество
Cl	chlorum
clauditio: onis f	хромота
clausus	закрытый
clavicula	ключица
clavicularis	ключичный
coagulatio: onis f	коагуляция
coagulatio: onis f	свертывание
cocarboxylasum	кокарбоксилаза
coccygeus	копчиковый
coccyx: ygis m	копчик
cochlea	улитка
cochlear: aris n	ложка
cochlearis	относ. к улитке
cochlearis	улитковый
codeinum	кодеин
coeruleus, cyan-	относ. к синильной кислоте
coeruleus, cyan-	синий
coeruleus, cyan-	синюшный
coffeinum	кофеин
coffeinum-natrii bensoas: coffeini-natrii bensoatis	кофеин-бензоат натрия
cogito: are I	мыслить
cognitio: onis f	познание
cognosco: ere III	познавать
cognosco: ere III	узнавать
cogo: ere III	заставлять
cogo: ere III	принуждать
colica	колика (внезапная боль в животе)
collargolum	колларгол
collega: ae m/f	коллега
collega: ae m/f	товарищ по работе
collegium	совет
collegium	товарищество
colloquium	коллоквиум
colloquium	собеседование
collum	шейка (кости)
collum	шея
colon	кишка ободочная
colon ascendens: entis	кишка восходящная ободочная
colon descendens: entis	кишка низходящая ободочная
colon sigmoideum	кишка сигмовидная ободочная
colp-	влагалище
columna	столб
coma: atis n	кома (бессознательное состояние)
coma: atis n	кома
coma: atis n	полная потеря сознания
comatosus	коматозный
comissura	спайка
comitans: antis	сопровождающий
comitans: antis	сопутствующий
commotio	сотрясение
communicans	соединительный
communicans	соединяющий
communico: are I	связывать
communico: are I	соединять
communis	общий
commuto: are I	изменять
commuto: are I	менять
compactus	плотный
completus	полный
complexus	связь
complexus	сочетание
complicationes	осложнения
complicatus	осложненный
compono: ere III	образовывать
compono: ere III	складывать
compono: ere III	соединять
compono: ere III	составлять
compositio	состав
compositus	сложный
con-, syn-	взаимодействие
con-, syn-	связь
con-, syn-	совместно
concentratus	концентрированный
concha	раковина
concisus	резаный
concordia	единодушие
concordia	согласие
concrementum	камень
concrementum	конкремент
concrementum	плотное образование
concretus	вещественный
concretus	конкретный
concretus	предметный
concretus	уплотненный
conditio	условие
condylaris	мыщелковый
condylus: i	мыщелок
confirmo: are I	подтверждать
confluens: entis	сливающийся
confluo: ere III	сливаться
congenitus	врожденный
congestivus	застойный
conicus	конический
conicus	конусовидный
conjunctiva	конъюнктива
conjunctivus	соединительнотканный
conjunctivus	соединительный
conjungo: ere III	соединять
consensio: onis f	единомыслие
consensio: onis f	согласие
conservatus	консервированный
consilium	совет
consilium	совещание
consolatio	слово утешения
consolatio	утешение
conspergo: ere III	обсыпать
constituens: entis	формирующий
constituens: entis	формообразующий
constituo: ere III	устанавливать
constituo: ere III	формировать
consto: are I	состоять
constrictio: onis f	сжатие
constrictio: onis f	сокращение
constructio: onis f	построение
constructio: onis f	составление
consuentudo: inis f	привычка
consumo: ere III	исчезать
consumo: ere III	погибать
consumo: ere III	расходовать
contactus	контактный
contineo: ere II	содержать
contortus	извитой
contortus	свернутый
contra	вопреки
contra	против
contra tussim	против кашля
contra-, anti-	противо-
contraceptivus	противозачаточный
contractio	стягивание
contractio: onis f	сокращение
contractura	контрактура
contractura	сведение
contractura	спазм
contraho: ere III	сводить
contraho: ere III	сокращать
contraho: ere III	стягивать
contrarius	противоположный
contusio: onis f	контузия
contusio: onis f	ушиб
convalesco: ere III	выздоравливать
convallaria	ландыш
convulsivus	конвульсивный
convulsivus	судорожный
