醋氨酚	Acetaminophen
acid-proof	耐酸的，防酸的
acidate	酸化，酰化；
acidic	酸性的
acidic	酸式，酸性的；
acidic amino acid	酸性氨基酸
acidic protein	酸性蛋白质[有时特指非组蛋白]
acidic solvent	酸性溶剂；
acidic transactivator	酸性反式激活蛋白
acidic transcription activator	酸性转录激活蛋白
acidification	酸性
acidifier	①酸化器 ②酸化剂
acidifying	酸化（作用）
acidimeter	酸定量器
acidimetry	酸量滴定法
acidity	酸性，酸度
acidity	酸度；
acidology	外科器械学0000
acidolysis	酸解
acidometer	酸度计
acidometer＝acidimeter	酸度计；
acidophilia	嗜酸性
acidophilic bacteria	嗜酸菌
acidophilous milk	酸奶
acidosis	酸中毒
acidulous element	及成酸元素
acid－base equilibrium	算见平衡，
aciform	针形的
Acifran	阿昔呋喃［降血脂药］
Acinetobacter baumannii	鲍氏不动杆菌
Acinetobacter calcoaceticus	醋酸钙不动杆菌
Acinetobacter haemolyticus	溶血不动杆菌
Acinetobacter radioresistens	抗辐射不动杆菌
Acinetobacter spp	不动杆菌
Acinitrazole	醋胺硝唑［抗滴虫药］
Acipimox	阿昔莫司［降血脂药］
Acitazanolast	阿扎司特［抗过敏药］
Acitemate	阿昔替酯［降血脂药］
Acitretin	阿维A［抗银屑病药］
Acivicin	阿西维辛［抗肿瘤药］
喷替酸镱[169Yb]	Ytterbium Pentetate[169Yb]
喷替酸铟[113mIn]	Indium Pentetate[113mIn]
acknowledge	承认，证实，感谢
aclacinomycin	阿克拉霉素
Aclantate	阿克兰酯［消炎药］
Aclarubicin	阿柔比星［抗生素类药］
Aclatonium Napadisilate	萘二磺乙乳胆铵［拟胆碱药］
acme arc lamp	极弧灯
Acne	（青春痘用品）
acne lancet	痤疮刀
Acne Solutions Antibacterial Facial Soap	抗痘杀菌洁肤皂
Acne Solutions Cleansing Foam	抗痘清洁沫（有泡沫）
Acne Solutions Night Treatment Gel	抗痘夜间护理者哩
Acne Solutions spot Healing Gel	抗痘瞬间胶
acne/spot	（青春痘用品）
Acodazole	阿考达唑［抗肿瘤药］
acoelomata	无体腔动物
acolite	低熔合金[口腔修复用]
acomitic acid	乌头酸
Aconiazide	阿考烟肼［抗结核药］
aconitase	顺乌头酸酶
aconitate	乌头酸；乌头酸盐、酯、根
aconitine	乌头碱
aconitum alkaloid	乌头属生物碱
acorn	①橡实 ②尖端 ③橡实管
acorn tube	橡实形电子管
acorn-headed catheter	橡子头导管
acorn-tipped bougie	橡子探条，橡实球状头探条
acoulalion	聋哑者习语器
acoumeter	听力计，测听计
acouometer	听力计，测听计
acouophone	助听器
acousimeter	听力计，测听计
acoustic	听觉的，声响的，声学的
acoustic admittance	声导纳
acoustic analysor	听觉分析器
acoustic apparatus	听器
acoustic corrector	声校正器
acoustic detector	声波探测器
acoustic Doppler imaging	多普勒成象
acoustic fidelity	声音保真度
acoustic filter	消声器，滤声器
acoustic frequency	声频，音频
acoustic generator	发声器
acoustic holography	传声全息照像术
acoustic image converter	声像转换器
acoustic impedance	声阻抗
acoustic input device	声输入装置
acoustic noise	噪音
acoustic noise protection	噪声防护
acoustic pick-up	拾声器，电唱机
acoustic resonator	共鸣器
acoustic spectroscope	声谱仪
acoustic stimulator	音刺激器
acousticon	助听器
acoustics	声学，音响学
acoustigram	关节音像图[记录关节运动所发声音的频率及响度的曲线图]
acoustimeter	声强度测量器，测声仪
acoustogram	关节音像图
acoustometer	声强度测量器，测声仪
ACP	酰基载体蛋白
Acq Parameters	采集参数
acquire	获得，取得，达到
acquired character	获得性状
acquired immunity	获得性免疫
acquisition	采集
acquisition matrix	采集矩阵
acquisition parameter	采集参数
Acquisition Time	获取时间
acquisition time	采集时间
acquisition window	采集窗宽
ACR-NEMA Format	ACR-NEMA 格式
acra	肢端，末梢部
acribometer	精微测量器
acridine	吖啶
acridine alkaloid	吖啶（类）生物碱
acridine dye	吖啶燃料
acridine orange	吖啶橙
acridine yellow	吖啶黄
Acridorex	吖啶雷司［食欲抑制药］
acriflavine	吖啶黄素
Acriflavine Hvdrochoride	吖啶黄［消毒防腐药］
Acriflavinium Chloride	吖啶黄［消毒防腐药］
Acrihellin	阿克海林［强心药］
Acrisorcin	吖啶琐辛［抗感染药］
Acrivastine	阿伐斯汀［抗组胺药］
acroblast	原顶体
acrocentric chromosome	近端着丝染色体
Acrocinonide	阿克奈德［肾上腺皮质激素类药］
acrolein	丙烯醛
acrolein polymer	丙烯醛类聚合物
acrolein resin	丙烯醛树脂
Acronine	阿克罗宁［抗肿瘤药］
acropetal translocation	向顶运输
acrosin	顶体蛋白
acrosomal protease	顶体蛋白酶
acrosomal reaction	顶体反应
acrosome	顶体
acrosome reaction	顶体反应
acrosomic granule	原顶体
across	①交叉，横过 ②宽（为），直径（为）
acrosyndesis	端部联会
acrylaldehyde	丙烯醛
acrylamide	丙烯酰胺
acrylate	丙烯酸酯、盐
acrylic acid	丙烯酸
acrylic dentyre	丙烯酸脂托牙
acrylic lens	丙烯透镜
